KEGG ID	UniProt ID	Gene	Protein	# SR in AS	Mean SR - AS minimum distance	cys in AS	# SR in BS	Mean SR - BS minimum distance	cys in BS	# Disulfide bonds	Mean S-S - AS/BS minimum distance	Cofactor	Subsystem	Evidence	Study organism	ecNumber	EC class	BRENDA evidence	BRENDA organism
PP_0732	Q88PW6	hemA	Glutamyl-tRNA reductase	1	3.83	1	6	4.85	1	0	0.0		S_Cofactor_and_Prosthetic_Group_Biosynthesis__Porphyrin_and_Chlorophyll_Metabolism	BRENDA		1.2.1.70	Oxidoreductases	suggesting that cysteine residues are the primary targets for oxidative inactivation of GluRS1	Acidithiobacillus ferrooxidans
PP_4715	Q88DV4	tpiA	Triosephosphate isomerase	1	4.37	0	1	5.1	0	0	0.0		S_Gluconeogenesis	BRENDA		5.3.1.1	Isomerases	oxidation of cystein residues	Arabidopsis thaliana AND Chlamydomonas reinhardtii
PP_3668	Q88GQ0	katG	Catalase-peroxidase	1	3.86	0	2	5.24	0	0	0.0	heme b (C34H30FeN4O4)	Unassigned	BRENDA		1.11.1.21	Oxidoreductases	" Steinman, H.M.; Fareed, F.; Weinstein, L.: Catalase-peroxidase of Caulobacter crescentus: function and role in stationary-phase survival:: J. Bacteriol. (1997) 179, 6831-6836. {Pubmed:9352936} AND  Carpena, X.; Loprasert, S.; Mongkolsuk, S.; Switala, J.; Loewen, P.C.; Fita, I.: Catalase-peroxidase KatG of Burkholderia pseudomallei at 1.7A resolution:: J. Mol. Biol. (2003) 327, 475-489. {Pubmed:12628252}"	Archaeoglobus fulgidus AND Rhodobacter capsulatus AND Synechococcus elongatus PCC 7942 = FACHB-805 AND Oceanobacillus oncorhynchi subsp. incaldanensis AND Escherichia coli AND Halobacterium salinarum
PP_1001	Q88P52	arcA	Arginine deiminase	1	3.87	1	0	0.0	0	0	0.0		S_Arginine_and_Proline_Metabolism	BRENDA		3.5.3.6	Hydrolases	oxidation of cystein residues	Aspergillus nidulans
PP_0398	Q88QT9	glpE	Thiosulfate sulfurtransferase GlpE	1	3.85	1	0	0.0	0	0	0.0		S_Sulfur_Metabolism	BRENDA		2.8.1.1	Transferases	In the absence of reduced thioredoxin, the sulfenic group is then involved in an intramolecular reaction with another rhodanese sulfhydryl group to form a disulfide, completing the inactivation.	Bos taurus
PP_0115	Q88RL4	katE	Catalase	1	5.35	0	5	4.53	0	0	0.0	heme (Fe_heme)	Unassigned	"Catalase can be directly inactivated by ROS (DOI: 10.1039/D2CB00091A) ; BRENDA"	Many	1.11.1.6	Oxidoreductases	" Amo, T.; Atomi, H.; Imanaka, T.: Unique presence of a manganese catalase in a hyperthermophilic archaeon, Pyrobaculum calidifontis VA1:: J. Bacteriol. (2002) 184, 3305-3312. {Pubmed:12029047}"	Brassica oleracea AND Kloeckera sp. AND Rhodobacter capsulatus AND Homo sapiens AND Beta vulgaris subsp. cicla AND Bos taurus AND Thermoascus aurantiacus AND Escherichia coli AND Oceanobacillus oncorhynchi AND Halobacterium salinarum AND Oryza sativa
PP_0481	Q88QK9	katA	Catalase	1	5.31	0	1	6.04	0	0	0.0	heme (Fe_heme)	Unassigned	"Catalase can be directly inactivated by ROS ( DOI: 10.1155/2019/9613090 ) ; BRENDA"		1.11.1.6	Oxidoreductases	" Amo, T.; Atomi, H.; Imanaka, T.: Unique presence of a manganese catalase in a hyperthermophilic archaeon, Pyrobaculum calidifontis VA1:: J. Bacteriol. (2002) 184, 3305-3312. {Pubmed:12029047}"	Brassica oleracea AND Kloeckera sp. AND Rhodobacter capsulatus AND Homo sapiens AND Beta vulgaris subsp. cicla AND Bos taurus AND Thermoascus aurantiacus AND Escherichia coli AND Oceanobacillus oncorhynchi AND Halobacterium salinarum AND Oryza sativa
PP_1231	Q88NH8	nadA	Quinolinate synthase	0	0.0	0	8	4.46	3	0	0.0	[4Fe-4S] cluster (Fe4S4)	S_Cofactor_and_Prosthetic_Group_Biosynthesis__Nicotinamide_Biosynthesis	BRENDA		2.5.1.72	Transferases	 suggests that the O2-sensitive site of quinolinate synthetase is an iron-sulfur cluster	Escherichia coli
PP_1010	Q88P43	edd	Phosphogluconate dehydratase	0	0.0	0	2	5.31	2	0	0.0	[4Fe-4S] cluster (Fe4S4)	S_Glycolysis	BRENDA		4.2.1.12	Lyases	very labile iron-sulfur clusters	Escherichia coli
PP_4264	Q88F35	hemN	Coproporphyrinogen-III oxidase	0	0.0	0	8	4.42	4	0	0.0	[4Fe-4S] cluster (Fe4S4)	S_Cofactor_and_Prosthetic_Group_Biosynthesis__Porphyrin_and_Chlorophyll_Metabolism	BRENDA		1.3.98.3	Oxidoreductases		Escherichia coli
