KEGG ID	UniProt ID	Gene	Protein	# SR in AS	Mean SR - AS minimum distance	cys in AS	# SR in BS	Mean SR - BS minimum distance	cys in BS	# Disulfide bonds	Mean S-S - AS/BS minimum distance	Cofactor	Subsystem	Evidence	Study organism	ecNumber	EC class	BRENDA evidence	BRENDA organism
PP_0243	Q88R90	gshA	Glutamate--cysteine ligase	0	0.0	0	0	0.0	0	0	0.0		S_Glutamate_Metabolism	Reduction of disulfide bonds lead to the inactivation of the enzyme (doi: 10.1105/tpc.107.052597)	Arabidopsis Thaliana	6.3.2.2	Ligases		
PP_0808	Q88PP0	hmp	Flavohemoprotein	1	4.51	0	8	5.11	0	0	0.0	heme b (C34H30FeN4O4)	S_Nitrogen_Metabolism	BRENDA	Bovine	1.14.12.17	Oxidoreductases		
PP_5228	Q88CF3	dapF	Diaminopimelate epimerase	2	6.14	2	4	4.72	0	0	0.0		S_Lysine_Metabolism	When CgDapF was treated with various concentrations of H2O2, the enzyme showed a concentration-dependent loss of activity, indicating the enzyme is indeed sensitive to oxidative environment (https://doi.org/10.1038/srep42318)	Corynebacterium glutamicum	5.1.1.7	Isomerases		
PP_0915	Q88PD5	sodB	Superoxide dismutase [Fe]	0	0.0	0	3	4.23	0	0	0.0	Fe cation (Fe)	Unassigned	"Gradual inactivation of the enzyme due to ROS (https://doi.org/10.1021/cr4005296) ; BRENDA"	E.coli	1.15.1.1	Oxidoreductases	" An, S.S.; Kim, Y.M.: Purification and characterization of a manganese-containing superoxide dismutase from a carboxydobacterium, Pseudomonas carboxydohydrogena:: Mol. Cells (1997) 7, 730-737. {Pubmed:9509413}"	Stemona tuberosa AND Marinomonas sp. AND Homo sapiens AND Thermochaetoides thermophila AND Geobacillus stearothermophilus AND Leptolyngbya boryana AND Methanothermobacter thermautotrophicus AND Potentilla atrosanguinea AND Leishmania tropica AND Psidium guajava AND Chersonesometrus fulvipes AND Pseudoalteromonas haloplanktis AND Methanobacterium bryantii AND [Pseudomonas] carboxydohydrogena AND Halobacterium salinarum AND Arthrospira platensis AND Oplegnathus fasciatus AND Aeropyrum pernix AND Saccharomyces cerevisiae AND Bacteroides fragilis AND Photobacterium damselae subsp. piscicida AND Sinorhizobium meliloti AND Propionibacterium freudenreichii subsp. shermanii AND Rattus norvegicus AND Sus scrofa AND Cordyceps militaris AND Solanum lycopersicum AND Pinus sylvestris AND Radix lethospermi AND Aspergillus fumigatus AND Coxiella burnetii AND Candida albicans AND Deinococcus radiophilus AND Nocardia asteroides AND Gallus gallus AND Crithidia fasciculata AND Cryptosporidium parvum AND Perkinsus marinus AND Jatropha curcas AND Sonneratia alba AND Deschampsia antarctica AND Pseudomonas putida AND Bacteroides thetaiotaomicron AND Pisum sativum AND Saccharolobus solfataricus AND Ulva linza AND Curcuma longa AND Escherichia coli AND Rhodothermus sp. AND Caragana jubata AND Amaranthus hypochondriacus AND Avicennia marina AND Megalodesulfovibrio gigas AND Spirometra erinaceieuropaei AND Phytomonas sp. AND Sardinella aurita AND Porphyridium purpureum AND Curcuma aromatica AND Methylobacillus sp. AND Paracoccus denitrificans AND Acholeplasma laidlawii AND Zea mays AND Trypanosoma cruzi AND Nicotiana sp. AND Caulobacter vibrioides AND Trichinella pseudospiralis AND Trypanosoma brucei AND Virgibacillus halodenitrificans AND Pseudoalteromonas sp. AN AND Cenchrus americanus AND Clonorchis sinensis AND Thermoplasma acidophilum AND Mycolicibacterium phlei AND Crypthecodinium cohnii AND Klebsiella aerogenes AND Streptococcus mutans AND Synechococcus elongatus PCC 7942 = FACHB-805 AND Mus musculus AND Photobacterium leiognathi AND Gordonia bronchialis AND Cereibacter sphaeroides AND Neospora caninum AND Ginkgo biloba AND Nuphar lutea AND Spinacia oleracea AND Methanobrevibacter arboriphilus AND Mycobacterium sp.
PP_0415	Q88QS3	rpe	Ribulose-phosphate 3-epimerase	0	5.13	0	2	5.95	0	0	0.0	Co(2+) (Co) AND Fe(2+) (Fe) AND Mn(2+) (Mn) AND Zn(2+) (Zn) AND a divalent metal cation (Fe_Generic_Divalent_Cation)	S_Pentose_Phosphate_Pathway	Easily affected by ROS, although this effect can be reverted by coordinating Mn2+ (doi: 10.1073/pnas.1100410108)	E.coli	5.1.3.1	Isomerases		
PP_1469	Q88MU9	dsbC	Thiol:disulfide interchange protein	0	0.0	0	0	0.0	0	1	0.0		Unassigned		E.coli	5.3.4.1	Isomerases		
PP_4042	Q88FP7	zwfB	Glucose-6-phosphate 1-dehydrogenase	1	3.85	0	1	4.03	0	0	0.0		S_Glycolysis	Sites of oxidation detected on 6PGDH are located close to its catalytic site indicating a more localized oxidation, and a consequent high susceptibility to ROS-mediated inactivation. (https://doi.org/10.1038/s41598-022-25474-x). 	E.coli	1.1.1.49	Oxidoreductases		
PP_2112	Q88L24	acnA-I	Aconitate hydratase	0	0.0	0	0	0.0	0	0	0.0	[4Fe-4S] cluster (Fe4S4)	S_TCA_Cycle	" Upon ROS exposure, mitoNEET [2Fe-2S] cluster is oxidized and aconitase [4Fe-4S] cluster is disassembled ( doi: 10.1093/mtomcs/mfae025) ; BRENDA"	E.coli, Human	4.2.1.3	Lyases		Rattus rattus AND Rattus norvegicus
PP_2336	Q88KF4	acnA-II	aconitate hydratase	0	0.0	0	0	0.0	0	0	0.0	[4Fe-4S] cluster (Fe4S4)	S_Alternate_Carbon__Propanoate_Metabolism	"Aconitase is sensitive to superoxide; see Gardner PR et al., 'Superoxide radical and iron modulate aconitase activity in mammalian cells' J Biol Chem 1995 doi:10.1074/jbc.270.22.13399. ; BRENDA"	E.coli, Human	4.2.1.3	Lyases		Rattus rattus AND Rattus norvegicus
PP_2339	Q88KF1	acnB	Aconitate hydratase B	0	0.0	0	8	4.46	3	0	0.0	[4Fe-4S] cluster (Fe4S4)	S_TCA_Cycle	"Aconitase B is inactivated by superoxide (see Gardner PR et al., J Biol Chem 1995 doi:10.1074/jbc.270.22.13399). ; BRENDA"	E.coli, Human	4.2.1.3	Lyases		Rattus rattus AND Rattus norvegicus
